Core_Kmax,GR,PEF,PHIA,PHIE,PHIN,RHOB,RoMS,RT,SwIrr,SwMS,VCL,VSH
1689.457,26.5193,2.0801,0.1983,0.1932,0.1868,2.3557,17.436,186.4405,0.1405,0.272,0.1372,0.0492
553.714,25.4769,1.9622,0.2168,0.2167,0.1943,2.3184,15.8507,206.1103,0.1064,0.2647,0.1218,0
3674.158,23.0142,1.9129,0.2375,0.2339,0.2117,2.2881,13.7925,491.9811,0.0857,0.1569,0.0854,0
5073.501,23.3602,1.9694,0.2392,0.2353,0.2206,2.2951,13.6441,392.2372,0.0841,0.1755,0.0905,0
2776.186,22.5755,1.9667,0.2358,0.2202,0.226,2.3104,13.553,756.3922,0.1018,0.1018,0.0789,0.0626
1477.483,21.3804,1.9091,0.2408,0.2366,0.219,2.289,13.5035,438.2353,0.0827,0.1648,0.0612,0
1061.0179,30.4266,2.0163,0.2123,0.1823,0.2163,2.3575,14.6731,321.4552,0.1593,0.1593,0.195,0.1737
2679.3669,25.4988,2.0602,0.2368,0.2333,0.2162,2.2957,13.8606,430.0202,0.0864,0.1687,0.1221,0
4103.5928,33.2215,1.9841,0.2241,0.2138,0.2124,2.3229,14.6885,93.7853,0.1101,0.3675,0.2363,0.0477
16.745,48.3785,2.253,0.169,0.1225,0.1995,2.4457,15.5913,45.3934,0.3222,0.473,0.4605,0.3872
5018.439,25.0856,1.9821,0.2267,0.2249,0.185,2.2818,14.8164,1064.407,0.0961,0.1092,0.116,0
4364.6069,19.16,1.912,0.2477,0.2424,0.2245,2.2785,12.9268,2905.864,0.0766,0.0766,0.0284,0
5477.9731,18.3022,2.0215,0.2338,0.2281,0.2179,2.3053,14.0384,2370.6616,0.0922,0.0922,0.0157,0.0137
7341.4292,13.9564,1.9107,0.2373,0.2337,0.2118,2.2888,13.8128,3578.8521,0.0859,0.0859,0,0
7125.7681,15.2954,1.9282,0.2439,0.2391,0.2204,2.2831,13.2452,4235.0483,0.08,0.08,0,0
8158.9731,18.183,2.0331,0.2428,0.2382,0.2205,2.286,13.3377,4667.6587,0.0809,0.0809,0.0139,0
8316.1611,18.8615,2.0388,0.2354,0.1989,0.2389,2.3278,12.9605,590.4765,0.1315,0.1315,0.024,0.1699
1096.6,41.1923,1.9319,0.1918,0.131,0.2247,2.42,13.9629,44.6274,0.29,0.4478,0.3542,0.4067
1.755,65.0491,2.1103,0.1398,0.1009,0.1776,2.4917,16.6267,31.968,0.4289,0.6194,0.707,0.4457
121.404,37.0468,2.0487,0.2013,0.1197,0.2462,2.423,12.6622,335.8452,0.3341,0.3341,0.2929,0.5028
1306.135,15.8424,1.935,0.2448,0.2115,0.2445,2.3112,12.4778,1363.2928,0.1132,0.1132,0,0.1396
1624.696,17.5013,1.9133,0.2264,0.2246,0.208,2.3116,14.8466,1191.1852,0.0964,0.1031,0.0039,0
1487.0341,21.7058,1.9274,0.2298,0.2247,0.2139,2.3105,14.4101,473.2713,0.0963,0.158,0.066,0.0142
1932.627,30.2419,2.0036,0.2184,0.218,0.1992,2.3206,15.6775,207.2509,0.1047,0.2625,0.1923,0
0.146,38.7816,2.0913,0.1549,0.1371,0.1644,2.437,19.7346,32.5158,0.2694,0.7321,0.3186,0.2182
0.031,62.739,2.022,0.1527,0.1051,0.1922,2.4776,15.605,100.6453,0.4049,0.4049,0.6729,0.4595
9621.9395,61.941,2.0181,0.2234,0.209,0.2145,2.3274,14.5759,391.295,0.1166,0.1544,0.6611,0.0705
1.474,64.8468,2.0179,0.2254,0.2184,0.2113,2.3183,14.7187,377.8987,0.1041,0.1745,0.704,0.0286
2587.657,51.7418,1.961,0.2213,0.1849,0.2277,2.3492,13.8176,190.0288,0.1546,0.1929,0.5102,0.1931
4514.4028,80.1843,2.0665,0.2041,0.1959,0.194,2.3501,0.7241,41.7528,0.1362,0.1362,0.9309,0.0603
